AB 20	Identify career opportunities in agriculture, environmental science, and natural resources.
AB 20	Define their career goals and create an educational plan to achieve these goals.
AB 20	Prepare an effective resume and cover letter and demonstrate effective job interviewing skills.
AB 22	Compare and contrast the role of agriculture in the economic structure of the state, country and world.
AB 22	Define economic terms.
AB 22	Analyze market conditions and predict price.
AB 22	Compare and contrast different economic systems.
AB 22	Define the laws of supply and demand.
AB 22	Construct and analyze graphs that utilize cost/revenue data to maximize profitability.
AB 22	Graph and analyze production functions and identify the three stages of production.
AB 25	Create a business document utilizing a common word processor.
AB 25	Create a multimedia presentation utilizing presentation software.
AB 25	Construct financial documents using an electronic spreadsheet.
AB 25	Manage data using database functions.
AB 25	Utilize the Internet to access agricultural information.
AB 25	Complete specific agricultural projects that demonstrate the ability to identify and solve problems using computers.
AB 25	Evaluate the criteria for selecting computer hardware and software appropriate to agricultural business applications.
AB 26	Explain how economic principles relate to commodity marketing sub sectors in agriculture.
AB 26	Recognize and describe agricultural business organizational structures including; sole proprietorships, partnerships, corporations, franchises, and cooperatives. Identify and explain the four functions of management and how they relate to the agribusiness organization.
AB 26	Develop an awareness of the basic laws, regulations, and regulatory agencies that interact with the agriculture community.
AB 26	Describe various styles of leadership.
AB 26	Identify the role of the agricultural manager.
AB 26	Recognize, evaluate, and propose solutions to problems in personnel, ethics and communication.
AB 50	Define the uses of agricultural records.
AB 50	Explain the accounting cycle.
AB 50	Define common agricultural accounting terms.
AB 50	Differentiate between cash and accrual accounting systems.
AB 50	Design a chart of accounts for an agricultural business. Demonstrate the principles of accrual accounting by opening, entering transactions, and closing a set of accounting records.
AB 50	Create a balance sheet and income statement.
AB 50	Calculate and analyze ratios of solvency and liquidity for an agricultural business.
AB 50	Properly value asset and liability accounts.
AB 54	Identify and describe the regulatory requirements relevant to labor management in agriculture, including farm worker safety training and documentation, migrant labor documentation requirements, and pesticide use in the workplace.
AB 54	Analyze the legal requirements for agricultural employers that have been established by the Agricultural Labor Relations Board.
AB 54	Identify and describe the characteristics of an effective supervisor in an agricultural business.
AB 54	Communicate effectively with native and non-native English speakers.
ACCT 2	Explain the nature and purpose of generally accepted accounting principles (GAAP) and International Financial Reporting Standards (IFRS). Explain and apply the components of the conceptual framework for financial accounting and reporting, including the qualitative characteristics of accounting information, the assumptions underlying accounting, the basic principles of financial accounting, and the constraints and limitations on accounting information.
ACCT 2	Define and use accounting and business terminology.
ACCT 2	Explain what a system is and how an accounting system is designed to satisfy the needs of specific businesses and users; summarize the purpose of journals and ledgers.
ACCT 2	Apply transaction analysis, input transactions into the accounting system, process this input, and prepare and interpret the four basic financial statements.
ACCT 2	Distinguish between cash basis and accrual basis accounting and their impact on the financial statements, including the revenue recognition and matching principles.
ACCT 2	Identify and illustrate how the principles of internal control are used to manage and control the firm's resources and minimize risk.
ACCT 2	Explain the content, form, and purpose of the basic financial statements (including footnotes) and the annual report, and how they satisfy the information needs of investors, creditors, and other users.
ACCT 2	Explain the nature of current assets and related issues, including the measurement and reporting of cash and cash equivalents, receivables and bad debts, and inventory and cost of goods sold.
ACCT 2	Explain the valuation and reporting of current liabilities, estimated liabilities and other contingencies.
ACCT 2	Identify and illustrate issues relating to long-term asset acquisition, use, cost allocation, and disposal.
ACCT 2	Distinguish between capital and revenue expenditures.
ACCT 2	Identify and illustrate issues relating to long-term liabilities, including issuance, valuation, and retirement of debt (including the time value of money).
ACCT 2	Identify and illustrate issues relating to stockholders' equity, including issuance, repurchase of capital stock, and dividends.
ACCT 2	Explain the importance of operating, investing and financing activities reported in the Statement of Cash Flows.
ACCT 2	Interpret company activity, profitability, liquidity and solvency through selection and  O. Interpret company activity, profitability, liquidity and solvency through selection and application of appropriate financial analysis tools.
ACCT 2	Identify the ethical implications inherent in financial reporting and be able to apply strategies for addressing them.
ACCT 128	Create and describe the components of basic accounting statements.
ACCT 128	Implement procedures to successfully manage cash, accounts receivable and accounts payable.
ACCT 128	Complete a set of accounts receivable and accounts payable records by hand and in QuickBooks.
ACCT 4	Identify and illustrate the primary activities and information needs of managers and explain the role of the managerial accountant as a member of the management team; compare and contrast financial and managerial accounting;
ACCT 4	Define and illustrate various cost terms, concepts, and behaviors, and evaluate their relevancy for different decision-making purposes;
ACCT 4	Distinguish between product and period costs and prepare and evaluate a Schedule of Cost of Goods Manufactured, Schedule of Cost of Goods Sold, and Income Statement;
ACCT 4	Prepare traditional and contribution-margin income statements and define related terms;
ACCT 4	Explain cost-volume-profit analysis, degree of operating leverage, and safety margin and employ each as an analytical tool;
ACCT 4	Describe the traditional types of product costing systems (including job-order and process), illustrate the flow of costs in each, and prepare related accounting records and reports;
ACCT 4	Discuss the impact of technology on the business environment, its implications for product and service costs, and the development of activity-based costing and management;
ACCT 4	Explain the purposes of budgeting, prepare a master budget and its component schedules, and relate the budget to planning and control;
ACCT 4	Explain the development and use of standard costs and flexible budgets, prepare and interpret variance analysis reports and relate them to responsibility accounting and control;
ACCT 4	Explain the nature of and need for segment reporting and the relationship with cost, revenue, profit, and investment centers; prepare and analyze related segment reports;
ACCT 4	Compare and contrast absorption costing and variable costing, prepare income statements using both methods, and reconcile the resulting net incomes.
ACCT 4	Define relevant costs and benefits and prepare analyses related to special decisions;
ACCT 4	Explain the nature of capital expenditure decisions and apply and evaluate various methods used in making these decisions; including the time value of money and
ACCT 4	Identify the ethical implications inherent in managerial accounting and reporting and be able to apply strategies for addressing them;
ACCT 20	Identify and define basic accounting terminology, principles and practices
ACCT 20	Analyze, journalize, and post business transactions
ACCT 20	Prepare financial statements including income statement, statement of owner's equity, and balance sheet.
ACCT 20	Reconcile a bank account by identifying and accounting for differences between the bank statement's cash balance and the general ledger's cash balance.
ACCT 20	Calculate a payroll check and describe associated employee and employer payroll obligations
ACCT 30	Analyze, organize, and present financial data in accordance with generally accepted accounting principles.
ACCT 30	Prepare accurate and ethical financial statements.
ACCT 30	Demonstrate appropriate written calculations and documentation to support journal entries, general ledger, financial statements and business decisions.
ACCT 30	Find and revise accounting errors and make appropriate adjustments when accounting changes occur.
ACCT 30	Work independently and develop appropriate problem solving skills.
ACCT 30	Demonstrate good work habits necessary to succeed in the field of accounting and become employable.
ACCT 97	Develop a set of research notes based on personal observations, readings, discussions and media presentations. Notes must be orderly, legible and meaningful for future reference, and include analytical questions.
ACCT 97	Produce a summary research report with supporting notes that is orderly, legible and meaningful for future reference; including an index and bibliography.
ACCT 97	Draw from their notes sufficient data as to be able to write a logically ordered analytical essay of at least 1,500 words in a proper research-paper form, on a chosen topic that is pertinent to the special study theme.
ACCT 99	Identify CWE objectives that are unique to each student and employment situation in consultation with their employer and CWE instructor prior to enrollment.
ACCT 99	Describe the importance of on-the-job responsibilities.
ACCT 99	Identify the attitudes and knowledge elements necessary for success.
ACCT 100	Demonstrate proficiency with QuickBooks Pro software by recording various business transactions using QuickBooks Pro.
ACCT 100	Set up a new or existing business’ accounting records on QuickBooks Pro.
ACCT 100	Explain the underlying accounting concepts when recording transactions.
